user_id,user_id_type,customer_search_term,dma_code,postal_code,device_type,browser_family,operating_system,search_campaign_cnt,total_impressions_30d,total_clicks_30d,total_impressions_15d,total_clicks_15d,total_impressions_3d,total_clicks_3d,total_conversions_30d,total_revenue_30d,total_quantity_30d,total_conversions_15d,total_revenue_15d,total_quantity_15d,total_conversions_3d,total_revenue_3d,total_quantity_3d,last_event_dt_30d,last_conversion_dt_30d
AMZN_USR_36610,adUserId,buy coffee maker,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_36610,adUserId,coffee,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_45917,adBrowserId,buy coffee maker,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_46689,sisDeviceId,coffee,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_46689,sisDeviceId,buy coffee maker,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_49211,adBrowserId,buy coffee maker,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_49211,adBrowserId,coffee,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_25306,adUserId,buy coffee maker,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_25306,adUserId,coffee,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_20089,adUserId,buy coffee maker,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_20089,adUserId,coffee,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_28081,adUserId,coffee,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_28081,adUserId,buy coffee maker,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_33231,sisDeviceId,coffee,"","","","","",1,0,0,0,0,0,0,"","","","","","","","","","",""
AMZN_USR_33231,sisDeviceId,buy coffee maker,"","","","","",1,0,0,0,0,0,0,"","","","","","","","","","",""
AMZN_USR_32051,adBrowserId,coffee,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_32051,adBrowserId,buy coffee maker,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_33371,adBrowserId,coffee,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_45783,sisDeviceId,buy coffee maker,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_45783,sisDeviceId,coffee,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_18589,adUserId,coffee,"","","","","",1,0,0,0,0,0,0,"","","","","","","","","","",""
AMZN_USR_18589,adUserId,buy coffee maker,"","","","","",1,0,0,0,0,0,0,"","","","","","","","","","",""
AMZN_USR_24622,adUserId,coffee,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_50554,adUserId,coffee,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_18958,adUserId,coffee,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_18958,adUserId,buy coffee maker,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_23617,adUserId,buy coffee maker,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_23617,adUserId,coffee,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_36462,sisDeviceId,buy coffee maker,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_27989,adBrowserId,coffee,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_27989,adBrowserId,buy coffee maker,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_21208,adUserId,coffee,"","","","","",2,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_21208,adUserId,buy coffee maker,"","","","","",2,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_32727,sisDeviceId,coffee,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_32727,sisDeviceId,buy coffee maker,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0.0000,0,"",""
AMZN_USR_27017,adBrowserId,coffee,"","","","","",1,0,0,0,0,0,0,"","","","","","","","","","",""
